"Entity","Day","Daily.new.confirmed.cases.of.COVID.19.per.million.people"
"Zambia","2020-08-26",4.41623
"Zambia","2020-08-27",6.8972583
"Zambia","2020-08-28",11.164627
"Zambia","2020-08-29",8.83246
"Zambia","2020-08-30",6.103329
"Zambia","2020-08-31",6.103329
"Zambia","2020-09-01",3.5726807
"Zambia","2020-09-02",14.09224
"Zambia","2020-09-03",1.6870992
"Zambia","2020-09-04",5.3590207
"Zambia","2020-09-05",5.7559853
"Zambia","2020-09-06",3.4734395
"Zambia","2020-09-07",3.3245778
"Zambia","2020-09-08",2.977234
"Zambia","2020-09-09",5.7559853
"Zambia","2020-09-10",7.93929
"Zambia","2020-09-11",5.0612974
"Zambia","2020-09-12",5.4086413
"Zambia","2020-09-13",7.095741
"Zambia","2020-09-14",3.622301
"Zambia","2020-09-15",8.981322
"Zambia","2020-09-16",4.912436
"Zambia","2020-09-17",3.3741984
"Zambia","2020-09-18",2.0344431
"Zambia","2020-09-19",4.763574
"Zambia","2020-09-20",2.282546
"Zambia","2020-09-21",3.0268545
"Zambia","2020-09-22",2.1833048
"Zambia","2020-09-23",10.618801
"Zambia","2020-09-24",2.6795104
"Zambia","2020-09-25",2.381787
"Zambia","2020-09-26",1.1908935
"Zambia","2020-09-27",4.8131948
"Zambia","2020-09-28",1.4389963
"Zambia","2020-09-29",0.9427907
"Zambia","2020-09-30",2.729131
"Zambia","2020-10-01",2.1833048
"Zambia","2020-10-02",2.1336842
"Zambia","2020-10-03",1.3893758
"Zambia","2020-10-04",7.1453614
"Zambia","2020-10-05",3.870404
"Zambia","2020-10-06",1.8359609
"Zambia","2020-10-07",4.0192657
"Zambia","2020-10-08",2.6795104
"Zambia","2020-10-09",3.8207834
"Zambia","2020-10-10",1.8855814
"Zambia","2020-10-11",3.7711627
"Zambia","2020-10-12",2.1336842
"Zambia","2020-10-13",4.5154715
"Zambia","2020-10-14",1.8855814
"Zambia","2020-10-15",1.4389963
"Zambia","2020-10-16",2.1336842
"Zambia","2020-10-17",2.62989
"Zambia","2020-10-18",3.8207834
"Zambia","2020-10-19",3.1757162
"Zambia","2020-10-20",2.1833048
"Zambia","2020-10-21",4.217748
"Zambia","2020-10-22",0.8931702
"Zambia","2020-10-23",1.7367197
"Zambia","2020-10-24",2.977234
"Zambia","2020-10-25",1.0916524
"Zambia","2020-10-26",0.99241126
"Zambia","2020-10-27",3.1260955
"Zambia","2020-10-28",2.1336842
"Zambia","2020-10-29",2.0840638
"Zambia","2020-10-30",1.9848225
"Zambia","2020-10-31",4.465851
"Zambia","2020-11-01",0.8435496
"Zambia","2020-11-02",2.381787
"Zambia","2020-11-03",3.1260955
"Zambia","2020-11-04",5.8552265
"Zambia","2020-11-05",1.8359609
"Zambia","2020-11-06",3.5726807
"Zambia","2020-11-07",2.4314077
"Zambia","2020-11-08",4.41623
"Zambia","2020-11-09",2.282546
"Zambia","2020-11-10",0.8435496
"Zambia","2020-11-11",1.2901347
"Zambia","2020-11-12",1.935202
"Zambia","2020-11-13",0.99241126
"Zambia","2020-11-14",1.8359609
"Zambia","2020-11-15",0.19848226
"Zambia","2020-11-16",1.2901347
"Zambia","2020-11-17",3.1757162
"Zambia","2020-11-18",2.7787516
"Zambia","2020-11-19",1.8359609
"Zambia","2020-11-20",3.4734395
"Zambia","2020-11-21",1.141273
"Zambia","2020-11-22",1.0420319
"Zambia","2020-11-23",1.488617
"Zambia","2020-11-24",1.488617
"Zambia","2020-11-25",0.59544677
"Zambia","2020-11-26",3.4238188
"Zambia","2020-11-27",0.8931702
"Zambia","2020-11-28",0.79392904
"Zambia","2020-11-29",0.99241126
"Zambia","2020-11-30",0.9427907
"Zambia","2020-12-01",1.935202
"Zambia","2020-12-02",0.8931702
"Zambia","2020-12-03",1.7367197
"Zambia","2020-12-04",1.488617
"Zambia","2020-12-05",6.3018117
"Zambia","2020-12-06",2.0344431
"Zambia","2020-12-07",0.8931702
"Zambia","2020-12-08",0.7443085
"Zambia","2020-12-09",1.5878581
"Zambia","2020-12-10",4.912436
"Zambia","2020-12-11",1.4389963
"Zambia","2020-12-12",3.4734395
"Zambia","2020-12-13",2.7787516
"Zambia","2020-12-14",2.8283722
"Zambia","2020-12-15",2.381787
"Zambia","2020-12-16",5.25978
"Zambia","2020-12-17",1.1908935
"Zambia","2020-12-18",2.5802693
"Zambia","2020-12-19",3.5726807
"Zambia","2020-12-20",2.1833048
"Zambia","2020-12-21",4.763574
"Zambia","2020-12-22",2.5802693
"Zambia","2020-12-23",5.607124
"Zambia","2020-12-24",11.958556
"Zambia","2020-12-25",5.557503
"Zambia","2020-12-26",16.72213
"Zambia","2020-12-27",4.962056
"Zambia","2020-12-28",8.088152
"Zambia","2020-12-29",5.4086413
"Zambia","2020-12-30",11.611212
"Zambia","2020-12-31",14.141861
"Zambia","2021-01-01",13.050208
"Zambia","2021-01-02",13.496794
"Zambia","2021-01-03",11.561591
"Zambia","2021-01-04",17.51606
"Zambia","2021-01-05",20.34443
"Zambia","2021-01-06",32.352608
"Zambia","2021-01-07",42.17748
"Zambia","2021-01-08",39.795692
"Zambia","2021-01-09",51.05956
"Zambia","2021-01-10",61.57912
"Zambia","2021-01-11",57.609474
"Zambia","2021-01-12",43.07065
"Zambia","2021-01-13",57.609474
"Zambia","2021-01-14",66.64042
"Zambia","2021-01-15",84.35496
"Zambia","2021-01-16",73.339195
"Zambia","2021-01-17",89.11853
"Zambia","2021-01-18",75.969086
"Zambia","2021-01-19",29.87158
"Zambia","2021-01-20",64.903694
"Zambia","2021-01-21",71.15589
"Zambia","2021-01-22",62.720394
"Zambia","2021-01-23",55.57503
"Zambia","2021-01-24",62.47229
"Zambia","2021-01-25",36.96732
"Zambia","2021-01-26",40.143036
"Zambia","2021-01-27",73.23995
"Zambia","2021-01-28",63.960907
"Zambia","2021-01-29",69.86575
"Zambia","2021-01-30",64.75484
"Zambia","2021-01-31",85.74433
"Zambia","2021-02-01",42.921787
"Zambia","2021-02-02",40.936966
"Zambia","2021-02-03",59.09809
"Zambia","2021-02-04",62.32343
"Zambia","2021-02-05",75.125534
"Zambia","2021-02-06",70.65968
"Zambia","2021-02-07",49.620564
"Zambia","2021-02-08",61.331017
"Zambia","2021-02-09",45.154713
"Zambia","2021-02-10",51.456524
"Zambia","2021-02-11",47.784603
"Zambia","2021-02-12",50.861076
"Zambia","2021-02-13",53.73907
"Zambia","2021-02-14",38.356697
"Zambia","2021-02-15",48.777016
"Zambia","2021-02-16",40.24228
"Zambia","2021-02-17",28.531824
"Zambia","2021-02-18",42.37596
"Zambia","2021-02-19",39.200245
"Zambia","2021-02-20",36.520737
"Zambia","2021-02-21",34.28781
"Zambia","2021-02-22",30.218924
"Zambia","2021-02-23",26.001175
"Zambia","2021-02-24",27.539413
"Zambia","2021-02-25",44.757748
"Zambia","2021-02-26",34.08933
"Zambia","2021-02-27",23.222424
"Zambia","2021-02-28",27.936377
"Zambia","2021-03-01",16.474028
"Zambia","2021-03-02",23.222424
"Zambia","2021-03-03",27.539413
"Zambia","2021-03-04",26.447762
"Zambia","2021-03-05",29.623476
"Zambia","2021-03-06",32.451847
"Zambia","2021-03-07",33.245777
"Zambia","2021-03-08",20.34443
"Zambia","2021-03-09",11.611212
"Zambia","2021-03-10",12.008177
"Zambia","2021-03-11",21.634565
"Zambia","2021-03-12",28.779926
"Zambia","2021-03-13",16.225924
"Zambia","2021-03-14",11.611212
"Zambia","2021-03-15",16.027443
"Zambia","2021-03-16",7.591946
"Zambia","2021-03-17",14.389963
"Zambia","2021-03-18",13.000587
"Zambia","2021-03-19",19.203157
"Zambia","2021-03-20",8.435496
"Zambia","2021-03-21",10.618801
"Zambia","2021-03-22",8.733219
"Zambia","2021-03-23",4.2673683
"Zambia","2021-03-24",12.107418
"Zambia","2021-03-25",10.618801
"Zambia","2021-03-26",16.126684
"Zambia","2021-03-27",13.149449
"Zambia","2021-03-28",7.1453614
"Zambia","2021-03-29",7.1949816
"Zambia","2021-03-30",6.946879
"Zambia","2021-03-31",9.279045
"Zambia","2021-04-01",10.866903
"Zambia","2021-04-02",6.5002937
"Zambia","2021-04-03",8.981322
"Zambia","2021-04-04",3.4734395
"Zambia","2021-04-05",6.450673
"Zambia","2021-04-06",3.9200246
"Zambia","2021-04-07",3.076475
"Zambia","2021-04-08",15.630478
"Zambia","2021-04-09",10.221836
"Zambia","2021-04-10",9.477528
"Zambia","2021-04-11",6.6987762
"Zambia","2021-04-12",5.5078826
"Zambia","2021-04-13",1.7367197
"Zambia","2021-04-14",7.6415668
"Zambia","2021-04-15",8.485116
"Zambia","2021-04-16",7.095741
"Zambia","2021-04-17",10.817283
"Zambia","2021-04-18",4.664333
"Zambia","2021-04-19",3.6719217
"Zambia","2021-04-20",1.1908935
"Zambia","2021-04-21",4.962056
"Zambia","2021-04-22",3.8207834
"Zambia","2021-04-23",3.4734395
"Zambia","2021-04-24",3.076475
"Zambia","2021-04-25",3.2749572
"Zambia","2021-04-26",2.0344431
"Zambia","2021-04-27",0.99241126
"Zambia","2021-04-28",1.9848225
"Zambia","2021-04-29",3.2749572
"Zambia","2021-04-30",2.4314077
"Zambia","2021-05-01",2.62989
"Zambia","2021-05-02",4.1681275
"Zambia","2021-05-03",1.141273
"Zambia","2021-05-04",1.4389963
"Zambia","2021-05-05",4.0688863
"Zambia","2021-05-06",2.2329254
"Zambia","2021-05-07",4.8131948
"Zambia","2021-05-08",2.8779926
"Zambia","2021-05-09",2.62989
"Zambia","2021-05-10",1.7367197
"Zambia","2021-05-11",0.99241126
"Zambia","2021-05-12",1.9848225
"Zambia","2021-05-13",2.9276133
"Zambia","2021-05-14",2.5306487
"Zambia","2021-05-15",4.664333
"Zambia","2021-05-16",2.62989
"Zambia","2021-05-17",1.3397552
"Zambia","2021-05-18",1.1908935
"Zambia","2021-05-19",2.977234
"Zambia","2021-05-20",5.458262
"Zambia","2021-05-21",6.15295
"Zambia","2021-05-22",8.237014
"Zambia","2021-05-23",9.229424
"Zambia","2021-05-24",4.7139535
"Zambia","2021-05-25",3.870404
"Zambia","2021-05-26",7.393464
"Zambia","2021-05-27",9.874493
"Zambia","2021-05-28",15.87858
"Zambia","2021-05-29",23.966732
"Zambia","2021-05-30",15.928201
"Zambia","2021-05-31",14.836549
"Zambia","2021-06-01",10.5691805
"Zambia","2021-06-02",27.688274
"Zambia","2021-06-03",36.81846
"Zambia","2021-06-04",40.936966
"Zambia","2021-06-05",49.025116
"Zambia","2021-06-06",57.758335
"Zambia","2021-06-07",36.619976
"Zambia","2021-06-08",24.165215
"Zambia","2021-06-09",61.082912
"Zambia","2021-06-10",87.679535
"Zambia","2021-06-11",106.48573
"Zambia","2021-06-12",102.46646
"Zambia","2021-06-13",117.00529
"Zambia","2021-06-14",70.163475
"Zambia","2021-06-15",68.873344
"Zambia","2021-06-16",133.47932
"Zambia","2021-06-17",150.15182
"Zambia","2021-06-18",168.4122
"Zambia","2021-06-19",144.54471
"Zambia","2021-06-20",90.11095
"Zambia","2021-06-21",102.21836
"Zambia","2021-06-22",79.29366
"Zambia","2021-06-23",150.25107
"Zambia","2021-06-24",167.07243
"Zambia","2021-06-25",178.3363
"Zambia","2021-06-26",128.76537
"Zambia","2021-06-27",139.7315
"Zambia","2021-06-28",125.88737
"Zambia","2021-06-29",54.235275
"Zambia","2021-06-30",118.84125
"Zambia","2021-07-01",143.50267
"Zambia","2021-07-02",143.10571
"Zambia","2021-07-03",137.99478
"Zambia","2021-07-04",92.98894
"Zambia","2021-07-05",89.06891
"Zambia","2021-07-06",61.082912
"Zambia","2021-07-07",80.33569
"Zambia","2021-07-08",92.84007
"Zambia","2021-07-09",72.09868
"Zambia","2021-07-10",96.71048
"Zambia","2021-07-11",118.295425
"Zambia","2021-07-12",46.64333
"Zambia","2021-07-13",50.265633
"Zambia","2021-07-14",99.53885
"Zambia","2021-07-15",89.36664
"Zambia","2021-07-16",78.40049
"Zambia","2021-07-17",60.288986
"Zambia","2021-07-18",65.89611
"Zambia","2021-07-19",48.47929
"Zambia","2021-07-20",31.260956
"Zambia","2021-07-21",65.648
"Zambia","2021-07-22",48.18157
"Zambia","2021-07-23",57.460613
"Zambia","2021-07-24",43.86458
"Zambia","2021-07-25",45.253956
"Zambia","2021-07-26",26.993587
"Zambia","2021-07-27",12.157038
"Zambia","2021-07-28",31.75716
"Zambia","2021-07-29",23.619389
"Zambia","2021-07-30",35.13136
"Zambia","2021-07-31",47.43726
"Zambia","2021-08-01",35.726807
"Zambia","2021-08-02",23.669008
"Zambia","2021-08-03",9.775251
"Zambia","2021-08-04",31.409817
"Zambia","2021-08-05",33.146538
"Zambia","2021-08-06",32.948055
"Zambia","2021-08-07",33.741985
"Zambia","2021-08-08",26.150038
"Zambia","2021-08-09",19.203157
"Zambia","2021-08-10",7.5423255
"Zambia","2021-08-11",31.211334
"Zambia","2021-08-12",25.40573
"Zambia","2021-08-13",21.237602
"Zambia","2021-08-14",4.8131948
"Zambia","2021-08-15",10.469939
"Zambia","2021-08-16",9.080564
"Zambia","2021-08-17",8.336255
"Zambia","2021-08-18",17.764162
"Zambia","2021-08-19",18.955055
"Zambia","2021-08-20",19.054296
"Zambia","2021-08-21",21.08874
"Zambia","2021-08-22",17.813782
"Zambia","2021-08-23",10.51956
"Zambia","2021-08-24",5.0612974
"Zambia","2021-08-25",16.176304
"Zambia","2021-08-26",6.450673
"Zambia","2021-08-27",10.321077
"Zambia","2021-08-28",19.302399
"Zambia","2021-08-29",9.378286
"Zambia","2021-08-30",7.8400493
"Zambia","2021-08-31",4.664333
"Zambia","2021-09-01",9.030943
"Zambia","2021-09-02",9.67601
"Zambia","2021-09-03",9.080564
"Zambia","2021-09-04",8.882081
"Zambia","2021-09-05",7.1453614
"Zambia","2021-09-06",4.2673683
"Zambia","2021-09-07",2.62989
"Zambia","2021-09-08",6.3018117
"Zambia","2021-09-09",7.3438435
"Zambia","2021-09-10",5.8552265
"Zambia","2021-09-11",6.748397
"Zambia","2021-09-12",6.946879
"Zambia","2021-09-13",5.0612974
"Zambia","2021-09-14",1.0916524
"Zambia","2021-09-15",4.41623
"Zambia","2021-09-16",5.557503
"Zambia","2021-09-17",5.25978
"Zambia","2021-09-18",4.2673683
"Zambia","2021-09-19",3.4238188
"Zambia","2021-09-20",2.3321664
"Zambia","2021-09-21",1.6374786
"Zambia","2021-09-22",4.8131948
"Zambia","2021-09-23",3.8207834
"Zambia","2021-09-24",1.935202
"Zambia","2021-09-25",3.1260955
"Zambia","2021-09-26",2.5306487
"Zambia","2021-09-27",1.3893758
"Zambia","2021-09-28",0.49620563
"Zambia","2021-09-29",2.2329254
"Zambia","2021-09-30",4.465851
"Zambia","2021-10-01",2.1833048
"Zambia","2021-10-02",3.3741984
"Zambia","2021-10-03",1.3893758
"Zambia","2021-10-04",1.0420319
"Zambia","2021-10-05",0.4465851
"Zambia","2021-10-06",1.3397552
"Zambia","2021-10-07",2.4314077
"Zambia","2021-10-08",1.7367197
"Zambia","2021-10-09",1.5878581
"Zambia","2021-10-10",1.0420319
"Zambia","2021-10-11",0.5458262
"Zambia","2021-10-12",0.29772338
"Zambia","2021-10-13",2.1336842
"Zambia","2021-10-14",0.7443085
"Zambia","2021-10-15",0.99241126
"Zambia","2021-10-16",2.282546
"Zambia","2021-10-17",1.3893758
"Zambia","2021-10-18",0.79392904
"Zambia","2021-10-19",0.7443085
"Zambia","2021-10-20",0.64506733
"Zambia","2021-10-21",1.0916524
"Zambia","2021-10-22",0.8931702
"Zambia","2021-10-23",1.0420319
"Zambia","2021-10-24",0.9427907
"Zambia","2021-10-25",0.24810281
"Zambia","2021-10-26",0.24810281
"Zambia","2021-10-27",0.4465851
"Zambia","2021-10-28",0.4465851
"Zambia","2021-10-29",0.7443085
"Zambia","2021-10-30",1.488617
"Zambia","2021-10-31",0.99241126
"Zambia","2021-11-01",0.59544677
"Zambia","2021-11-02",0.24810281
"Zambia","2021-11-03",1.0420319
"Zambia","2021-11-04",1.0420319
"Zambia","2021-11-05",1.6870992
"Zambia","2021-11-06",1.8359609
"Zambia","2021-11-07",0.8435496
"Zambia","2021-11-08",1.6374786
"Zambia","2021-11-09",0.29772338
"Zambia","2021-11-10",0.49620563
"Zambia","2021-11-11",1.0420319
"Zambia","2021-11-12",0.6946879
"Zambia","2021-11-13",0.49620563
"Zambia","2021-11-14",0.39696452
"Zambia","2021-11-15",0.59544677
"Zambia","2021-11-16",0.64506733
"Zambia","2021-11-17",0.59544677
"Zambia","2021-11-18",0.59544677
"Zambia","2021-11-19",0.79392904
"Zambia","2021-11-20",0.34734395
"Zambia","2021-11-21",0.6946879
"Zambia","2021-11-22",0.64506733
"Zambia","2021-11-23",0.14886169
"Zambia","2021-11-24",0.8435496
"Zambia","2021-11-25",0.4465851
"Zambia","2021-11-26",0.64506733
"Zambia","2021-11-27",0.29772338
"Zambia","2021-11-28",0.99241126
"Zambia","2021-11-29",0.24810281
"Zambia","2021-11-30",0.34734395
"Zambia","2021-12-01",0.9427907
"Zambia","2021-12-02",1.2901347
"Zambia","2021-12-03",1.240514
"Zambia","2021-12-04",2.0840638
"Zambia","2021-12-05",1.5878581
"Zambia","2021-12-06",0.8931702
"Zambia","2021-12-07",0.7443085
"Zambia","2021-12-08",2.3321664
"Zambia","2021-12-09",3.076475
"Zambia","2021-12-10",6.252191
"Zambia","2021-12-11",8.038531
"Zambia","2021-12-12",11.660832
"Zambia","2021-12-13",5.8552265
"Zambia","2021-12-14",7.7904286
"Zambia","2021-12-15",23.371286
"Zambia","2021-12-16",28.432583
"Zambia","2021-12-17",42.723305
"Zambia","2021-12-18",64.20901
"Zambia","2021-12-19",51.555767
"Zambia","2021-12-20",51.406906
"Zambia","2021-12-21",30.218924
"Zambia","2021-12-22",94.5768
"Zambia","2021-12-23",141.76595
"Zambia","2021-12-24",167.7175
"Zambia","2021-12-25",182.20671
"Zambia","2021-12-26",131.44487
"Zambia","2021-12-27",76.36605
"Zambia","2021-12-28",67.285484
"Zambia","2021-12-29",193.86754
"Zambia","2021-12-30",260.75607
"Zambia","2021-12-31",275.64224
"Zambia","2022-01-01",252.12209
"Zambia","2022-01-02",182.30595
"Zambia","2022-01-03",85.79395
"Zambia","2022-01-04",76.61415
"Zambia","2022-01-05",211.28436
"Zambia","2022-01-06",223.88799
"Zambia","2022-01-07",203.24583
"Zambia","2022-01-08",207.86055
"Zambia","2022-01-09",163.74786
"Zambia","2022-01-10",65.89611
"Zambia","2022-01-11",73.68654
"Zambia","2022-01-12",135.01755
"Zambia","2022-01-13",114.3754
"Zambia","2022-01-14",107.52776
"Zambia","2022-01-15",104.84825
"Zambia","2022-01-16",66.14421
"Zambia","2022-01-17",54.7811
"Zambia","2022-01-18",33.990086
"Zambia","2022-01-19",60.288986
"Zambia","2022-01-20",56.567444
"Zambia","2022-01-21",39.64683
"Zambia","2022-01-22",30.566267
"Zambia","2022-01-23",30.566267
"Zambia","2022-01-24",21.18798
"Zambia","2022-01-25",14.588446
"Zambia","2022-01-26",32.005264
"Zambia","2022-01-27",34.585533
"Zambia","2022-01-28",36.520737
"Zambia","2022-01-29",17.416819
"Zambia","2022-01-30",15.035031
"Zambia","2022-01-31",13.19907
"Zambia","2022-02-01",6.2025704
"Zambia","2022-02-02",25.306488
"Zambia","2022-02-03",0
"Zambia","2022-02-04",39.200245
"Zambia","2022-02-05",21.336842
"Zambia","2022-02-06",0
"Zambia","2022-02-07",21.287222
"Zambia","2022-02-08",5.5078826
"Zambia","2022-02-09",15.828959
"Zambia","2022-02-10",20.542913
"Zambia","2022-02-11",25.108006
"Zambia","2022-02-12",22.676598
"Zambia","2022-02-13",13.893758
"Zambia","2022-02-14",10.370698
"Zambia","2022-02-15",3.8207834
